"id";"surname";"name";"patronymic";"post";"identification_card";"login";"password";"role"
47;"Степанов";"Степан";"Степанович";"Майор";"13456789";"loginU47";"password47";2
48;"Воробьев";"Воробей";"Воробьевич";"Подполковник";"34567890";"loginU48";"password48";1
49;"Гончаров";"Гонка";"Гончарович";"Старший лейтенант";"45678901";"loginU49";"password49";2
50;"Степанова";"Степан";"Степанович";"Лейтенант";"56789011";"loginU50";"password50";1
51;"Беляков";"Вадим";"Александрович";"Лейтенант";"11110000";"admin";"admin";4
52;"Иванов";"Илья";"Александрович";"Полковник";"77710202";"loginUUV2qcT";"sl5cLQAr";4
53;"Мокрушин";"Артем";"Вячеславович";"Майор";"2028888";"loginUXa33o9";"BgOUa71r";2
54;"Голубев";"Вадим";"Александрович";"Капитан";"1321235";"loginUtgdDU9";"WLUP6Y83";3
55;"Кошелев";"Антон";"Алексеевич";"Лейтенант";"12 312312";"loginU26EPg6";"1vHHWGT0";1
56;"User";"User";"";"Младший лейтенант";"00 000000";"usr";"usr";1
57;"Duty";"Duty";"";"Лейтенант";"11 111111";"duty";"duty";2
58;"manager";"manager";"";"Старший лейтенант";"22 222222";"manag";"manag";3
59;"Пулькин";"Данил";"";"Младший лейтенант";"12 332135";"loginUCcPEdl";"bTgosQC6";1
63;"вываыа";"аывфаывафыв";"";"Лейтенант";"13 456789";"loginUiALqiP";"vrep2XYO";1
64;"выаывфаы";"ываывфаывф";"";"Лейтенант";"13 456789";"loginUPLAvvJ";"g3cFgJfe";1
65;"dsfasd";"sdafasdfs";"";"Младший лейтенант";"13 456789";"loginUhDrN8S";"i5gdgaQU";1
66;"DsaSda";"FDSfds";"Fds";"Лейтенант";"11 231231";"loginUlhlMgC";"dYcD6E5d";2
